N , InsertSort Time , MergeSort Time , QuickSort Time 
10, 0, 0, 0
1010, 16, 1, 1
2010, 4, 0, 1
3010, 1, 1, 1
4010, 2, 1, 1
5010, 4, 3, 0
6010, 5, 2, 1
7010, 11, 2, 0
8010, 12, 1, 1
9010, 13, 2, 0
10010, 13, 3, 0
11010, 20, 2, 0
12010, 24, 2, 1
13010, 23, 6, 1
14010, 27, 5, 1
15010, 33, 4, 2
16010, 38, 2, 2
17010, 47, 3, 1
18010, 50, 2, 2
19010, 52, 3, 2
20010, 64, 4, 2
21010, 64, 3, 2
22010, 70, 6, 3
23010, 74, 5, 3
24010, 84, 4, 3
25010, 93, 5, 2
26010, 100, 8, 3
27010, 110, 8, 3
28010, 153, 6, 6
29010, 131, 6, 3
30010, 139, 10, 3
31010, 150, 7, 6
32010, 152, 13, 3
33010, 158, 9, 3
34010, 167, 8, 3
35010, 164, 6, 4
36010, 177, 7, 3
37010, 190, 8, 6
38010, 196, 13, 3
39010, 202, 5, 3
40010, 222, 6, 3
41010, 224, 5, 4
42010, 228, 7, 4
43010, 249, 5, 4
44010, 255, 6, 4
45010, 263, 6, 4
46010, 269, 7, 4
47010, 293, 6, 6
48010, 301, 7, 6
49010, 348, 7, 5
50010, 447, 6, 5
51010, 391, 7, 6
52010, 348, 7, 5
53010, 367, 7, 5
54010, 382, 7, 5
55010, 392, 7, 5
56010, 403, 8, 5
57010, 418, 7, 5
58010, 434, 8, 6
59010, 442, 8, 6
60010, 466, 8, 6
61010, 476, 8, 6
62010, 491, 12, 7
63010, 503, 9, 6
64010, 524, 8, 6
65010, 538, 9, 6
66010, 558, 10, 7
67010, 572, 10, 7
68010, 593, 10, 7
69010, 606, 10, 6
70010, 624, 10, 6
71010, 650, 17, 7
72010, 673, 10, 7
73010, 685, 11, 7
74010, 718, 11, 7
75010, 721, 10, 7
76010, 741, 11, 8
77010, 764, 10, 7
78010, 780, 12, 7
79010, 795, 11, 7
80010, 841, 10, 8
81010, 839, 10, 8
82010, 873, 12, 7
83010, 948, 11, 8
84010, 924, 11, 7
85010, 944, 12, 14
86010, 988, 19, 9
87010, 988, 13, 9
88010, 999, 12, 9
89010, 1017, 11, 10
90010, 1051, 14, 9
91010, 1057, 14, 9
92010, 1089, 18, 9
93010, 1148, 13, 10
94010, 1135, 13, 10
95010, 1175, 14, 9
96010, 1199, 14, 10
97010, 1216, 13, 10
98010, 1240, 20, 10
99010, 1260, 13, 10
